iati_identifier,lat,long,code,level,vocabulary,name
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92040,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92007,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92016,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92043,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92047,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92030,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92022,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92017,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92006,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92010,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92033,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92053,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92027,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92020,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92005,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92048,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92028,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92051,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92034,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92042,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92036,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92038,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92041,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,12.865416,-85.207229,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,30.375321,69.345116,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,12.879721,121.774017,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,12.862807,30.217636,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,13.794185,-88.89653,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,9.145,40.489673,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,15.783471,-90.230759,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,33.854721,35.862285,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,40.143105,47.576927,,,,
