iati_identifier,lat,long,code,level,vocabulary,country,name
XM-DAC-41114-OUTPUT-00058964,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00074098,18.37902,20.38158,242245,1,G1,TD,Ouadi Doum
XM-DAC-41114-OUTPUT-00074098,15.75303,18.30232,2429852,1,G1,TD,Kouba Olanga
XM-DAC-41114-OUTPUT-00074098,20.33333,16.66667,7603258,1,G1,TD,Tibesti Region
XM-DAC-41114-OUTPUT-00076306,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00077223,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00082056,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00083409,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00083522,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00083523,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00085359,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00085599,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00085758,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00085763,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00087124,13.5,14.5,2429323,1,G1,TD,Lac Region
XM-DAC-41114-OUTPUT-00088939,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00090693,12.22643,21.40983,243787,1,G1,TD,Goz-Beida
XM-DAC-41114-OUTPUT-00090797,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00091380,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00091439,12.25,21.5,7603257,1,G1,TD,Sila
XM-DAC-41114-OUTPUT-00093875,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00093875,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00094727,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00095618,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00097284,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00097310,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00098845,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00100100,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00101015,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00121355,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00121405,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00121485,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00104686,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00104688,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00104689,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00104789,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00106917,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00110841,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00108185,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00108319,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00109343,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00108249,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00108259,13.5,14.5,2429323,1,G1,TD,Lac Region
XM-DAC-41114-OUTPUT-00109252,12.66667,16.16667,7603251,1,G1,TD,Hadjer-Lamis
XM-DAC-41114-OUTPUT-00111105,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
