iati_identifier,source,adm1,lat,long
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92051,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92034,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92042,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92036,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92038,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92041,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92000,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92023,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92031,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92027,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92014,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92013,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92002,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92042,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92043,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92019,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92038,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92047,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92000,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92037,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92029,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92030,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92036,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92031,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92033,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92002,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92032,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92003,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92004,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92025,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92034,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92020,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92035,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92000,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92012,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92008,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92027,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92015,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92030,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92046,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92033,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92006,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92026,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92023,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92029,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92036,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92034,point/pos,Borkou,15.454166,18.732207
